Number	R	G	B	Name	Group R2  G2  B2
1	0	255	168	BGreen	cGvHD.control 0 109 146
2	0	146	146	LFGreen	- 0 0 0
3	0	44	62	Navy	noncGvHD  0 109 219
4	0	109	219	Blue	No.GVHD 0 0 0
4.1  0	109	220	Blue2	No.GVHD-28 0 0 0
5	137	201	102	IGreen	- 0 0 0
6	182	219	255	LLBlue	No.GVHD-60 0 0 0
9	128	129	132	Grey	Healthy.Control 0 0 0
10	0	0	0	Black	- 0 0 0
11	255	182	216	LPink	GVHD-60 0 0 0
12	238	58	57	Red	GVHD 0 0 0
12.1  238 58  58  Red2  GVHD-28 0 0 0
13	9	139	68	Green	- 0 0 0
14	146	73	0	Brown	- 0 0 0
15	219	209	0	Mustard	- 0 0 0
17  	244  	139  	144 	Salmon 	- 0 0 0
18  	207 	133 	64  	Peru  	- 0 0 0
19  	216 	174 	143 	Tan 	- 0 0 0
20  	254 	6 	172 	Magenta	cGvHD 255	182	216
7	185	158	222	Purple	- 0 0 0
8	150	110	205	Purp2	- 0 0 0
21	115	62	188	Purp3	- 0 0 0
22	80	14	172	Purp4	- 0 0 0
23	60	10	129	Purp5	- 0 0 0
24	222	176	158	Beige	- 0 0 0
25	40	7	86	Purp6	- 0 0 0
26	51	51	51	Dgrey	- 0 0 0
