Number	R	G	B	Name	Group
1	0	255	168	BGreen	cGvHD.control
2	0	146	146	LFGreen	-
3	0	44	62	Navy	noncGvHD
4	0	109	219	Blue	No.GVHD
4.1  0	109	220	Blue2	No.GVHD-28
5	137	201	102	IGreen	-
6	182	219	255	LLBlue	No.GVHD-60
9	128	129	132	Grey	Healthy.Control
10	0	0	0	Black	-
11	255	182	216	LPink	GVHD-60
12	238	58	57	Red	GVHD
12.1  238 58  58  Red2  GVHD-28
13	9	139	68	Green	-
14	146	73	0	Brown	-
15	219	209	0	Mustard	-
17  	244  	139  	144 	Salmon 	-
18  	207 	133 	64  	Peru  	-
19  	216 	174 	143 	Tan 	-
20  	254 	6 	172 	Magenta	cGvHD
7	185	158	222	Purple	-
8	150	110	205	Purp2	-
21	115	62	188	Purp3	-
22	80	14	172	Purp4	-
23	60	10	129	Purp5	-
24	222	176	158	Beige	-
25	40	7	86	Purp6	-
26	51	51	51	Dgrey	-
