Number	R	G	B	Name	Group	R2	 G2	B2
1	0	255	168	BGreen	Bela.Siro.F	0	0	0
2	0	146	146	LFGreen	FR104.F	0	0	0
3	0	44	62	Navy	FR104.Siro.F	0	0	0
4	0	109	219	Blue	Siro.F	0	0	0
5	137	201	102	IGreen	Bela.Siro.D30	0	0	0
6	182	219	255	LLBlue	FR104.D14	0	0	0
9	128	129	132	Grey	Healthy.Control.L	0	0	0
10	0	0	0	Black	FR104.Siro.D14	0	0	0
11	255	182	216	LPink	Tac.Mtx.D14	0	0	0
12	238	58	57	Red	NoRx.F	0	0	0
13	9	139	68	Green	Bela.Siro.D14	0	0	0
14	146	73	0	Brown	FR104.L	0	0	0
15	219	209	0	Mustard	Bela.F	0	0	0
17	244	139	144	Salmon 	Tac.Mtx.D30	0	0	0
18	207	133	64	Peru  	Bela.L	0	0	0
19	216	174	143	Tan 	FR104.Siro.L	0	0	0
20	254	6	172	Magenta	Tac.Mtx.F	0	0	0
7	185	158	222	Purple	Auto.D365	0	0	0
8	150	110	205	Purp2	Auto.D130	0	0	0
21	115	62	188	Purp3	Auto.D100	0	0	0
22	80	14	172	Purp4	Auto.D65	0	0	0
23	60	10	129	Purp5	Auto.D36	0	0	0
24	222	176	158	Beige	Auto.D130.L	0	0	0
25	40	7	86	Purp6	Auto.D14	0	0	0
26	89	89	92	Dgrey	Healthy.Control	147	149	151
27	247	148	32	Orange	Breakthrough	255	212	121
28	122	22	21	DeepRed	Primary	243	125	121
29	0	144	70	Green 	Controlled	144	202	107
30	56	109	181	Blue	Auto	69	140	203
31	164	207	177	GreenBlue1	Bela.Siro.D70	0	0	0
32	0	0	0	Black 	NA	0	0	0
33	40	7	86	Purp6	Auto.D14-36	0	0	0
